P2433	Secondary Air Injection System Air Flow/Pressure Sensor Circuit High
P2434	Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Er
P2435	Secondary Air Injection System Air Flow/Pressure Sensor Circuit
P2436	Secondary Air Injection System Air Flow/Pressure Sensor Circuit Range/Performan
P2437	Secondary Air Injection System Air Flow/Pressure Sensor Circuit Low
P2438	Secondary Air Injection System Air Flow/Pressure Sensor Circuit High
P2439	Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Er
P2440	Secondary Air Injection System Switching Valve Stuck Open
P2441	Secondary Air Injection System Switching Valve Stuck Closed
P2442	Secondary Air Injection System Switching Valve Stuck Open
P2443	Secondary Air Injection System Switching Valve Stuck Closed
P2444	Secondary Air Injection System Pump Stuck On
P2445	Secondary Air Injection System Pump Stuck Off
P2446	Secondary Air Injection System Pump Stuck On
P2447	Secondary Air Injection System Pump Stuck Off
P2500	Generator Lamp/L-Terminal Circuit Low
P2501	Generator Lamp/L-Terminal Circuit High
P2502	Charging System Voltage
P2503	Charging System Voltage Low
P2504	Charging System Voltage High
P2505	ECM/PCM Power Input Signal
P2506	ECM/PCM Power Input Signal Range/Performance
P2507	ECM/PCM Power Input Signal Low
P2508	ECM/PCM Power Input Signal High
P2509	ECM/PCM Power Input Signal Intermittent
P2510	ECM/PCM Power Relay Sense Circuit Range/Performance
P2511	ECM/PCM Power Relay Sense Circuit Intermittent
P2512	Event Data Recorder Request Circuit/ Open
P2513	Event Data Recorder Request Circuit Low
P2514	Event Data Recorder Request Circuit High
P2515	A/C Refrigerant Pressure Sensor 'B'' Circuit
P2516	A/C Refrigerant Pressure Sensor 'B'' Circuit Range/Performance
P2517	A/C Refrigerant Pressure Sensor 'B'' Circuit Low
P2518	A/C Refrigerant Pressure Sensor 'B'' Circuit High
P2519	A/C Request 'A' Circuit
P2520	A/C Request 'A' Circuit Low
P2521	A/C Request 'A' Circuit High
P2522	A/C Request 'B'' Circuit
P2523	A/C Request 'B'' Circuit Low
P2524	A/C Request 'B'' Circuit High
P2525	Vacuum Reservoir Pressure Sensor Circuit
P2526	Vacuum Reservoir Pressure Sensor Circuit Range/Performance
P2527	Vacuum Reservoir Pressure Sensor Circuit Low
P2528	Vacuum Reservoir Pressure Sensor Circuit High
P2529	Vacuum Reservoir Pressure Sensor Circuit Intermittent
P2530	Ignition Switch Run Position Circuit
P2531	Ignition Switch Run Position Circuit Low
P2532	Ignition Switch Run Position Circuit High
P2533	Ignition Switch Run/Start Position Circuit
P2534	Ignition Switch Run/Start Position Circuit Low
P2535	Ignition Switch Run/Start Position Circuit High
P2536	Ignition Switch Accessory Position Circuit
P2537	Ignition Switch Accessory Position Circuit Low
P2538	Ignition Switch Accessory Position Circuit High
P2539	Low Pressure Fuel System Sensor Circuit
P2540	Low Pressure Fuel System Sensor Circuit Range/Performance
P2541	Low Pressure Fuel System Sensor Circuit Low
P2542	Low Pressure Fuel System Sensor Circuit High
P2543	Low Pressure Fuel System Sensor Circuit Intermittent
P2544	Torque Management Request Input Signal 'A'
P2545	Torque Management Request Input Signal 'A' Range/Performance
P2546	Torque Management Request Input Signal 'A' Low
P2547	Torque Management Request Input Signal 'A' High
P2548	Torque Management Request Input Signal 'B''
P2549	Torque Management Request Input Signal 'B'' Range/Performance
P2550	Torque Management Request Input Signal 'B'' Low
P2551	Torque Management Request Input Signal 'B'' High
P2552	Throttle/Fuel Inhibit Circuit
P2553	Throttle/Fuel Inhibit Circuit Range/Performance
P2554	Throttle/Fuel Inhibit Circuit Low
P2555	Throttle/Fuel Inhibit Circuit High
P2556	Engine Coolant Level Sensor/Switch Circuit
P2557	Engine Coolant Level Sensor/Switch Circuit Range/Performance
P2558	Engine Coolant Level Sensor/Switch Circuit Low
P2559	Engine Coolant Level Sensor/Switch Circuit High
P2560	Engine Coolant Level Low
P2561	A/C Control Module Requested MIL Illumination
P2562	Turbocharger Boost Control Position Sensor Circuit
P2563	Turbocharger Boost Control Position Sensor Circuit Range/Performance
P2564	Turbocharger Boost Control Position Sensor Circuit Low
P2565	Turbocharger Boost Control Position Sensor Circuit High
P2566	Turbocharger Boost Control Position Sensor Circuit Intermittent
P2567	Direct Ozone Reduction Catalyst Temperature Sensor Circuit
P2568	Direct Ozone Reduction Catalyst Temperature Sensor Circuit Range/Performance
P2569	Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low
P2570	Direct Ozone Reduction Catalyst Temperature Sensor Circuit High
P2571	Direct Ozone Reduction Catalyst Temperature Sensor Circuit Intermittent/Erratic
P2572	Direct Ozone Reduction Catalyst Deterioration Sensor Circuit
P2573	Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Range/Performance
P2574	Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Low
P2575	Direct Ozone Reduction Catalyst Deterioration Sensor Circuit High
P2576	Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Intermittent/Errat
P2577	Direct Ozone Reduction Catalyst Efficiency Below Threshold
P2600	Coolant Pump Control Circuit/Open
P2601	Coolant Pump Control Circuit Range/Performance
P2602	Coolant Pump Control Circuit Low
P2603	Coolant Pump Control Circuit High
P2604	Intake Air Heater 'A' Circuit Range/Performance
P2605	Intake Air Heater 'A' Circuit/Open
P2606	Intake Air Heater 'B'' Circuit Range/Performance
P2607	Intake Air Heater 'B'' Circuit Low
P2608	Intake Air Heater 'B'' Circuit High
P2609	Intake Air Heater System Performance
P2610	ECM/PCM Internal Engine Off Timer Performance
P2611	A/C Refrigerant Distribution Valve Control Circuit/Open
P2612	A/C Refrigerant Distribution Valve Control Circuit Low
P2613	A/C Refrigerant Distribution Valve Control Circuit High
P2614	Camshaft Position Signal Output Circuit/Open
P2615	Camshaft Position Signal Output Circuit Low
P2616	Camshaft Position Signal Output Circuit High
P2617	Crankshaft Position Signal Output Circuit/Open
P2618	Crankshaft Position Signal Output Circuit Low
P2619	Crankshaft Position Signal Output Circuit High
P2620	Throttle Position Output Circuit/Open
P2621	Throttle Position Output Circuit Low
P2622	Throttle Position Output Circuit High
P2623	Injector Control Pressure Regulator Circuit/Open
P2624	Injector Control Pressure Regulator Circuit Low
P2625	Injector Control Pressure Regulator Circuit High
P2626	O2 Sensor Pumping Current Trim Circuit/Open
P2627	O2 Sensor Pumping Current Trim Circuit Low
P2628	O2 Sensor Pumping Current Trim Circuit High
P2629	O2 Sensor Pumping Current Trim Circuit/Open
P2630	O2 Sensor Pumping Current Trim Circuit Low
P2631	O2 Sensor Pumping Current Trim Circuit High
P2632	Fuel Pump 'B'' Control Circuit /Open
P2633	Fuel Pump 'B'' Control Circuit Low
P2634	Fuel Pump 'B'' Control Circuit High
P2635	Fuel Pump 'A' Low Flow / Performance
P2636	Fuel Pump 'B'' Low Flow / Performance
P2637	Torque Management Feedback Signal 'A'\u201C;
P2638	Torque Management Feedback Signal 'A' Range/Performance
P2639	Torque Management Feedback Signal 'A' Low
P2640	Torque Management Feedback Signal 'A' High
P2641	Torque Management Feedback Signal 'B''\u201C;
P2642	Torque Management Feedback Signal 'B'' Range/Performance
P2643	Torque Management Feedback Signal 'B'' Low
P2644	Torque Management Feedback Signal 'B'' High
P2645	'A' Rocker Arm Actuator Control Circuit/Open
P2646	'A' Rocker Arm Actuator System Performance or Stuck Off
P2647	'A' Rocker Arm Actuator System Stuck On
P2648	'A' Rocker Arm Actuator Control Circuit Low
P2649	'A' Rocker Arm Actuator Control Circuit High
P2650	'B'' Rocker Arm Actuator Control Circuit/Open
P2651	'B'' Rocker Arm Actuator System Performance or Stuck Off
P2652	'B'' Rocker Arm Actuator System Stuck On
P2653	'B'' Rocker Arm Actuator Control Circuit Low
P2654	'B'' Rocker Arm Actuator Control Circuit High
P2655	'A' Rocker Arm Actuator Control Circuit/Open
P2656	'A' Rocker Arm Actuator System Performance or Stuck Off
P2657	'A' Rocker Arm Actuator System Stuck On
P2658	'A' Rocker Arm Actuator Control Circuit Low
P2659	'A' Rocker Arm Actuator Control Circuit High
P2660	'B'' Rocker Arm Actuator Control Circuit/Open
P2661	'B'' Rocker Arm Actuator System Performance or Stuck Off
P2662	'B'' Rocker Arm Actuator System Stuck On
P2663	'B'' Rocker Arm Actuator Control Circuit Low
P2664	'B'' Rocker Arm Actuator Control Circuit High
P2665	Fuel Shutoff Valve 'B'' Control Circuit/Open
P2666	Fuel Shutoff Valve 'B'' Control Circuit Low
P2667	Fuel Shutoff Valve 'B'' Control Circuit High
P2668	Fuel Mode Indicator Lamp Control Circuit
P2669	Actuator Supply Voltage 'B'' Circuit /Open
P2670	Actuator Supply Voltage 'B'' Circuit Low
P2671	Actuator Supply Voltage 'B'' Circuit High
P2700	Transmission Friction Element 'A' Apply Time Range/Performance
P2701	Transmission Friction Element 'B'' Apply Time Range/Performance
P2702	Transmission Friction Element 'C' Apply Time Range/Performance
P2703	Transmission Friction Element 'D' Apply Time Range/Performance
P2704	Transmission Friction Element 'E' Apply Time Range/Performance
P2705	Transmission Friction Element 'F' Apply Time Range/Performance
P2706	Shift Solenoid 'F'
P2707	Shift Solenoid 'F' Performance or Stuck Off
P2708	Shift Solenoid 'F' Stuck On
P2709	Shift Solenoid 'F' Electrical
P2710	Shift Solenoid 'F' Intermittent
P2711	Unexpected Mechanical Gear Disengagement
P2712	Hydraulic Power Unit Leakage
P2713	Pressure Control Solenoid 'D'
P2714	Pressure Control Solenoid 'D' Performance or Stuck Off
P2715	Pressure Control Solenoid 'D' Stuck On
P2716	Pressure Control Solenoid 'D' Electrical
P2717	Pressure Control Solenoid 'D' Intermittent
P2718	Pressure Control Solenoid 'D' Control Circuit / Open
P2719	Pressure Control Solenoid 'D' Control Circuit Range/Performance
P2720	Pressure Control Solenoid 'D' Control Circuit Low
P2721	Pressure Control Solenoid 'D' Control Circuit High
P2722	Pressure Control Solenoid 'E'
P2723	Pressure Control Solenoid 'E' Performance or Stuck Off
P2724	Pressure Control Solenoid 'E' Stuck On
P2725	Pressure Control Solenoid 'E' Electrical
P2726	Pressure Control Solenoid 'E' Intermittent
P2727	Pressure Control Solenoid 'E' Control Circuit / Open
P2728	Pressure Control Solenoid 'E' Control Circuit Range/Performance
P2729	Pressure Control Solenoid 'E' Control Circuit Low
P2730	Pressure Control Solenoid 'E' Control Circuit High
P2731	Pressure Control Solenoid 'F'
P2732	Pressure Control Solenoid 'F' Performance or Stuck Off
P2733	Pressure Control Solenoid 'F' Stuck On
P2734	Pressure Control Solenoid 'F' Electrical
P2735	Pressure Control Solenoid 'F' Intermittent
P2736	Pressure Control Solenoid 'F' Control Circuit/Open
P2737	Pressure Control Solenoid 'F' Control Circuit Range/Performance
P2738	Pressure Control Solenoid 'F' Control Circuit Low
P2739	Pressure Control Solenoid 'F' Control Circuit High
P2740	Transmission Fluid Temperature Sensor 'B' Circuit
P2741	Transmission Fluid Temperature Sensor 'B'' Circuit Range Performance
P2742	Transmission Fluid Temperature Sensor 'B'' Circuit Low
P2743	Transmission Fluid Temperature Sensor 'B'' Circuit High
P2744	Transmission Fluid Temperature Sensor 'B'' Circuit Intermittent
P2745	Intermediate Shaft Speed Sensor 'B'' Circuit
P2746	Intermediate Shaft Speed Sensor 'B'' Circuit Range/Performance
P2747	Intermediate Shaft Speed Sensor 'B'' Circuit No Signal
P2748	Intermediate Shaft Speed Sensor 'B'' Circuit Intermittent
P2749	Intermediate Shaft Speed Sensor 'C' Circuit
P2750	Intermediate Shaft Speed Sensor 'C' Circuit Range/Performance
P2751	Intermediate Shaft Speed Sensor 'C' Circuit No Signal
P2752	Intermediate Shaft Speed Sensor 'C' Circuit Intermittent
P2753	Transmission Fluid Cooler Control Circuit/Open
P2754	Transmission Fluid Cooler Control Circuit Low
P2755	Transmission Fluid Cooler Control Circuit High
P2756	Torque Converter Clutch Pressure Control Solenoid
P2757	Torque Converter Clutch Pressure Control Solenoid Control Circuit Performance
P2758	Torque Converter Clutch Pressure Control Solenoid Control Circuit Stuck On
P2759	Torque Converter Clutch Pressure Control Solenoid Control Circuit Electrical
P2760	Torque Converter Clutch Pressure Control Solenoid Control Circuit Intermittent
P2761	Torque Converter Clutch Pressure Control Solenoid Control Circuit/Open
P2762	Torque Converter Clutch Pressure Control Solenoid Control Circuit Range/Perform
P2763	Torque Converter Clutch Pressure Control Solenoid Control Circuit High
P2764	Torque Converter Clutch Pressure Control Solenoid Control Circuit Low
P2765	Input/Turbine Speed Sensor 'B'' Circuit
P2766	Input/Turbine Speed Sensor 'B'' Circuit Range/Performance
P2767	Input/Turbine Speed Sensor 'B'' Circuit No Signal
P2768	Input/Turbine Speed Sensor 'B'' Circuit Intermittent
P2769	Torque Converter Clutch Circuit Low
P2770	Torque Converter Clutch Circuit High
P2771	Four Wheel Drive (4WD) Low Switch Circuit
P2772	Four Wheel Drive (4WD) Low Switch Circuit Range/Performance
P2773	Four Wheel Drive (4WD) Low Switch Circuit Low
P2774	Four Wheel Drive (4WD) Low Switch Circuit High
P2775	Upshift Switch Circuit Range/Performance
P2776	Upshift Switch Circuit Low
P2777	Upshift Switch Circuit High
P2778	Upshift Switch Circuit Intermittent/Erratic
P2779	Downshift Switch Circuit Range/Performance
P2780	Downshift Switch Circuit Low
P2781	Downshift Switch Circuit High
P2782	Downshift Switch Circuit Intermittent/Erratic
P2783	Torque Converter Temperature Too High
P2784	Input/Turbine Speed Sensor 'A'/'B'' Correlation
P2785	Clutch Actuator Temperature Too High
P2786	Gear Shift Actuator Temperature Too High
P2787	Clutch Temperature Too High
P2788	Auto Shift Manual Adaptive Learning at Limit
P2789	Clutch Adaptive Learning at Limit
P2790	Gate Select Direction Circuit
P2791	Gate Select Direction Circuit Low
P2792	Gate Select Direction Circuit High
P2793	Gear Shift Direction Circuit
P2794	Gear Shift Direction Circuit Low
P2795	Gear Shift Direction Circuit High
P3400	Cylinder Deactivation System
P3401	Cylinder 1 Deactivation/lntake Valve Control Circuit/Open
P3402	Cylinder 1 Deactivation/lntake Valve Control Performance
P3403	Cylinder 1 Deactivation/lntake Valve Control Circuit Low
P3404	Cylinder 1 Deactivation/lntake Valve Control Circuit High
P3405	Cylinder 1 Exhaust Valve Control Circuit/Open
P3406	Cylinder 1 Exhaust Valve Control Performance
P3407	Cylinder 1 Exhaust Valve Control Circuit Low
P3408	Cylinder 1 Exhaust Valve Control Circuit High
P3409	Cylinder 2 Deactivation/lntake Valve Control Circuit/Open
P3410	Cylinder 2 Deactivation/lntake Valve Control Performance
P3411	Cylinder 2 Deactivation/lntake Valve Control Circuit Low
P3412	Cylinder 2 Deactivation/lntake Valve Control Circuit High
P3413	Cylinder 2 Exhaust Valve Control Circuit/Open
P3414	Cylinder 2 Exhaust Valve Control Performance
P3415	Cylinder 2 Exhaust Valve Control Circuit Low
P3416	Cylinder 2 Exhaust Valve Control Circuit High
P3417	Cylinder 3 Deactivation/lntake Valve Control Circuit/Open
P3418	Cylinder 3 Deactivation/lntake Valve Control Performance
P3419	Cylinder 3 Deactivation/lntake Valve Control Circuit Low
P3420	Cylinder 3 Deactivation/lntake Valve Control Circuit High
P3421	Cylinder 3 Exhaust Valve Control Circuit/Open
P3422	Cylinder 3 Exhaust Valve Control Performance
P3423	Cylinder 3 Exhaust Valve Control Circuit Low
P3424	Cylinder 3 Exhaust Valve Control Circuit High
P3425	Cylinder 4 Deactivation/lntake Valve Control Circuit/Open
P3426	Cylinder 4 Deactivation/lntake Valve Control Performance
P3427	Cylinder 4 Deactivation/lntake Valve Control Circuit Low
P3428	Cylinder 4 Deactivation/lntake Valve Control Circuit High
P3429	Cylinder 4 Exhaust Valve Control Circuit/Open
P3430	Cylinder 4 Exhaust Valve Control Performance
P3431	Cylinder 4 Exhaust Valve Control Circuit Low
P3432	Cylinder 4 Exhaust Valve Control Circuit High
P3433	Cylinder 5 Deactivation/lntake Valve Control Circuit/Open
P3434	Cylinder 5 Deactivation/lntake Valve Control Performance
P3435	Cylinder 5 Deactivation/lntake Valve Control Circuit Low
P3436	Cylinder 5 Deactivation/lntake Valve Control Circuit High
P3437	Cylinder 5 Exhaust Valve Control Circuit/Open
P3438	Cylinder 5 Exhaust Valve Control Performance
P3439	Cylinder 5 Exhaust Valve Control Circuit Low
P3440	Cylinder 5 Exhaust Valve Control Circuit High
P3441	Cylinder 6 Deactivation/lntake Valve Control Circuit/Open
P3442	Cylinder 6 Deactivation/lntake Valve Control Performance
P3443	Cylinder 6 Deactivation/lntake Valve Control Circuit Low
P3444	Cylinder 6 Deactivation/lntake Valve Control Circuit High
P3445	Cylinder 6 Exhaust Valve Control Circuit/Open
P3446	Cylinder 6 Exhaust Valve Control Performance
P3447	Cylinder 6 Exhaust Valve Control Circuit Low
P3448	Cylinder 6 Exhaust Valve Control Circuit High
P3449	Cylinder 7 Deactivation/lntake Valve Control Circuit/Open
P3450	Cylinder 7 Deactivation/lntake Valve Control Performance
P3451	Cylinder 7 Deactivation/lntake Valve Control Circuit Low
P3452	Cylinder 7 Deactivation/lntake Valve Control Circuit High
P3453	Cylinder 7 Exhaust Valve Control Circuit/Open
P3454	Cylinder 7 Exhaust Valve Control Performance
P3455	Cylinder 7 Exhaust Valve Control Circuit Low
P3456	Cylinder 7 Exhaust Valve Control Circuit High
P3457	Cylinder 8 Deactivation/lntake Valve Control Circuit/Open
P3458	Cylinder 8 Deactivation/lntake Valve Control Performance
P3459	Cylinder 8 Deactivation/lntake Valve Control Circuit Low
P3460	Cylinder 8 Deactivation/lntake Valve Control Circuit High
P3461	Cylinder 8 Exhaust Valve Control Circuit/Open
P3462	Cylinder 8 Exhaust Valve Control Performance
P3463	Cylinder 8 Exhaust Valve Control Circuit Low
P3464	Cylinder 8 Exhaust Valve Control Circuit High
P3465	Cylinder 9 Deactivation/lntake Valve Control Circuit/Open
P3466	Cylinder 9 Deactivation/lntake Valve Control Performance
P3467	Cylinder 9 Deactivation/lntake Valve Control Circuit Low
P3468	Cylinder 9 Deactivation/lntake Valve Control Circuit High
P3469	Cylinder 9 Exhaust Valve Control Circuit/Open
P3470	Cylinder 9 Exhaust Valve Control Performance
P3471	Cylinder 9 Exhaust Valve Control Circuit Low
P3472	Cylinder 9 Exhaust Valve Control Circuit High
P3473	Cylinder 10 Deactivation/lntake Valve Control Circuit/Open
P3474	Cylinder 10 Deactivation/lntake Valve Control Performance
P3475	Cylinder 10 Deactivation/lntake Valve Control Circuit Low
P3476	Cylinder 10 Deactivation/lntake Valve Control Circuit High
P3477	Cylinder 10 Exhaust Valve Control Circuit/Open
P3478	Cylinder 10 Exhaust Valve Control Performance
P3479	Cylinder 10 Exhaust Valve Control Circuit Low
P3480	Cylinder 10 Exhaust Valve Control Circuit High
P3481	Cylinder 11 Deactivation/lntake Valve Control Circuit/Open
P3482	Cylinder 11 Deactivation/lntake Valve Control Performance
P3483	Cylinder 11 Deactivation/lntake Valve Control Circuit Low
P3484	Cylinder 11 Deactivation/lntake Valve Control Circuit High
P3485	Cylinder 11 Exhaust Valve Control Circuit/Open
P3486	Cylinder 11 Exhaust Valve Control Performance
P3487	Cylinder 11 Exhaust Valve Control Circuit Low
P3488	Cylinder 11 Exhaust Valve Control Circuit High
P3489	Cylinder 12 Deactivation/lntake Valve Control Circuit/Open
P3490	Cylinder 12 Deactivation/lntake Valve Control Performance
P3491	Cylinder 12 Deactivation/lntake Valve Control Circuit Low
P3492	Cylinder 12 Deactivation/lntake Valve Control Circuit High
P3493	Cylinder 12 Exhaust Valve Control Circuit/Open
P3494	Cylinder 12 Exhaust Valve Control Performance
P3495	Cylinder 12 Exhaust Valve Control Circuit Low
P3496	Cylinder 12 Exhaust Valve Control Circuit High
P3497	Cylinder Deactivation System
U0001	Bus dati CAN, bus velocità alta
U0009	Bus dati CAN, bus velocità alta in corto a positivo
U0101	Bus dati CAN centralina cambio
U0121	Bus dati CAN centralina ABS
U0140	Bus dati CAN immobilizzatore
U0402	Segnale da cambio automatico
U0405	Dati ricevuti non validi-modulo comando tempomat segnale ON
U0415	Bus dati CAN
U0424	Bus dati CAN
U0426	Chiave elettronica ricevuti dati non validi-modulo comando immobilizzatore
U1600	Immobilizzatore nessun segnale[Fiat]
U1601	Errore linea C-CAN[Fiat]
U1602	Comunicazione B-CAN abitacolo[Fiat]
U1700	Comunicazione CAN elettronica centrale[Fiat]
U1701	Comunicazione CAN con servosterzo elettrico[Fiat]
U1706	Comunicazione CAN con ABS/ASR/ESP[Fiat]
U1711	Comunicazione CAN con ABS/ASR/ESP[Fiat]
U1712	Comunicazione CAN con EPS[Fiat]
U1715	Unità sensore ESP(nessuna comunicazione)[Fiat]
U1716	Comunicazione CAN cruise control assente[Fiat]
U1717	Comunicazione CAN cruise control assente[Fiat]
U1719	Comunicazione CAN con ABS[Fiat]
U1722	Comunicazione con modulo leva selettrice rapporto di marcia[Fiat]
U2100	Bus dati CAN errore comunicazione[Fiat]
U2101	Bus dati CAN non programmato[Fiat]
U2103	Bus dati CAN disturbo funzionale[Fiat]
U2104	Bus dati CAN dati non plausibili[Fiat]
U2105	Bus dati CAN centralina motore[Fiat]
U2107	Bus dati CAN centralina trazione integrale[Fiat]
U2108	Bus dati CAN sistema ABS[Fiat]
U2110	Bus dati CAN sistema ABS[Fiat]
U2111	Bus dati CAN[Fiat]
U2112	Bus dati CAN[Fiat]
U2113	Bus dati CAN[Fiat]
U2116	Bus dati CAN[Fiat]
U2117	Bus dati CAN[Fiat]
U2120	Bus dati CAN[Fiat]
U2127	Bus dati CAN climatizzatore[Fiat]
U2139	Bus dati CAN immobilizzatore[Fiat]
U2140	Bus dati CAN[Fiat]
U2141	Bus dati CAN[Fiat]
U2143	Bus dati CAN[Fiat]
U2144	Bus dati CAN[Fiat]
U2145	Bus dati CAN[Fiat]
U2146	Bus dati CAN[Fiat]
U2147	Bus dati CAN[Fiat]
U2149	Bus dati CAN[Fiat]
U2173	Bus dati CAN[Fiat]
U2174	Bus dati CAN[Fiat]
U2199	Temperatura refrigerante (disturbo funzionale)[Fiat]
U2201	Bus dati CAN[Fiat]
U2202	Bus dati CAN[Fiat]
U2206	Bus dati CAN[Fiat]
U2207	Bus dati CAN[Fiat]
U2208	Bus dati CAN[Fiat]
U2213	Bus dati CAN[Fiat]
U2215	Bus dati CAN[Fiat]
